self_driving,safety_concern,carshare_level,rideshare_level,pevowner,income,householdvehicles,housing,parkingtype
Yes,Neutral,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
Neutral,Neutral,Currently participating,Currently participating,Yes,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Interested in participating,No,Middle income,Two vehicle,Apartment,Personal parking
Neutral,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Neutral,Interested in participating,Interested in participating,No,Middle income,Two vehicle,Apartment,Shared parking
Yes,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Agree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Disagree,Currently participating,Currently participating,Yes,Middle income,Two vehicle,Single family,Personal parking
No,Disagree,Not participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Disagree,Interested in participating,Interested in participating,Yes,Middle income,Two vehicle,Single family,Personal parking
No,Disagree,Currently participating,Interested in participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
Neutral,Disagree,Currently participating,Interested in participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Apartment,Shared parking
Yes,Disagree,Currently participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Agree,Not participating,Not participating,No,Middle income,Two vehicle,Single family,Shared parking
Yes,Neutral,Not participating,Interested in participating,No,Middle income,Two vehicle,Single family,Shared parking
Yes,Agree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Agree,Not participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Agree,Interested in participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Agree,Not participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
Neutral,Disagree,Not participating,Not participating,Yes,Middle income,Two vehicle,Single family,Personal parking
Neutral,Disagree,Not participating,Interested in participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Not participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Not participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
Neutral,Disagree,Not participating,Interested in participating,No,Middle income,Two vehicle,Single family,Shared parking
No,Agree,Currently participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
Neutral,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Agree,Not participating,Interested in participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Neutral,Not participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
Neutral,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Disagree,Not participating,Interested in participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Disagree,Not participating,Not participating,No,Middle income,Two vehicle,Single family,Shared parking
Yes,Neutral,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
Neutral,Agree,Currently participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Agree,Not participating,Not participating,Yes,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Currently participating,Yes,Middle income,Two vehicle,Single family,Personal parking
No,Agree,Not participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Not participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Disagree,Interested in participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Agree,Interested in participating,Not participating,Yes,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Interested in participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Not participating,Interested in participating,No,Middle income,Two vehicle,Single family,Personal parking
Neutral,Neutral,Not participating,Interested in participating,No,Middle income,Two vehicle,Single family,Personal parking
Neutral,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Neutral,Currently participating,Interested in participating,Yes,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Disagree,Currently participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Disagree,Not participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Disagree,Currently participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Apartment,Shared parking
No,Neutral,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Agree,Currently participating,Interested in participating,No,Middle income,Two vehicle,Single family,Personal parking
Neutral,Neutral,Interested in participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
Neutral,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Interested in participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Not participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Neutral,Not participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Neutral,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Agree,Not participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Disagree,Interested in participating,Interested in participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Not participating,No,Middle income,Two vehicle,Single family,Shared parking
Yes,Disagree,Currently participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Neutral,Not participating,Currently participating,Yes,Middle income,Two vehicle,Single family,Personal parking
No,Agree,Interested in participating,Not participating,Yes,Middle income,Two vehicle,Single family,Shared parking
No,Neutral,Currently participating,Currently participating,Yes,Middle income,Two vehicle,Single family,Personal parking
Neutral,Disagree,Interested in participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
Neutral,Disagree,Not participating,Interested in participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Disagree,Not participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Interested in participating,Interested in participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Disagree,Currently participating,Interested in participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Disagree,Not participating,Not participating,Yes,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Interested in participating,Yes,Middle income,Two vehicle,Single family,Personal parking
No,Disagree,Currently participating,Currently participating,Yes,Middle income,Two vehicle,Single family,Personal parking
Neutral,Disagree,Currently participating,Not participating,Yes,Middle income,Two vehicle,Single family,Personal parking
No,Agree,Not participating,Not participating,Yes,Middle income,Two vehicle,Single family,Personal parking
Neutral,Disagree,Not participating,Interested in participating,No,Middle income,Two vehicle,Single family,Shared parking
Yes,Disagree,Currently participating,Interested in participating,Yes,Middle income,Two vehicle,Single family,Personal parking
No,Agree,Not participating,Currently participating,Yes,Middle income,Two vehicle,Single family,Personal parking
Neutral,Disagree,Not participating,Interested in participating,No,Middle income,Two vehicle,Single family,Personal parking
Neutral,Disagree,Currently participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Interested in participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Not participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Not participating,Yes,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Agree,Currently participating,Not participating,Yes,Middle income,Two vehicle,Apartment,Shared parking
Neutral,Agree,Not participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Disagree,Currently participating,Currently participating,Yes,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Disagree,Currently participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Agree,Currently participating,Not participating,Yes,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Currently participating,Yes,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Not participating,Not participating,Yes,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Not participating,Currently participating,Yes,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Not participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Not participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
Neutral,Disagree,Currently participating,Not participating,Yes,Middle income,Two vehicle,Single family,Personal parking
No,Neutral,Currently participating,Currently participating,Yes,Middle income,Two vehicle,Single family,Personal parking
No,Disagree,Not participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
Neutral,Agree,Interested in participating,Interested in participating,Yes,Middle income,Two vehicle,Single family,Personal parking
No,Agree,Not participating,Not participating,Yes,Middle income,Two vehicle,Single family,Personal parking
No,Disagree,Not participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Neutral,Currently participating,Currently participating,Yes,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Currently participating,Yes,Middle income,Two vehicle,Apartment,Personal parking
No,Agree,Currently participating,Not participating,Yes,Middle income,Two vehicle,Single family,Personal parking
No,Disagree,Not participating,Interested in participating,No,Middle income,Two vehicle,Single family,Personal parking
Neutral,Disagree,Currently participating,Currently participating,Yes,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Neutral,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Interested in participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Disagree,Currently participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Disagree,Not participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Currently participating,Yes,Middle income,Two vehicle,Single family,Shared parking
No,Disagree,Not participating,Not participating,Yes,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Not participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
Neutral,Neutral,Currently participating,Currently participating,Yes,Middle income,Two vehicle,Single family,Personal parking
Neutral,Disagree,Currently participating,Interested in participating,No,Middle income,Two vehicle,Single family,Personal parking
Neutral,Neutral,Currently participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Disagree,Interested in participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Not participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Disagree,Interested in participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Disagree,Not participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
Neutral,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Interested in participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Neutral,Not participating,Interested in participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Agree,Currently participating,Currently participating,No,Middle income,Two vehicle,Apartment,Shared parking
No,Neutral,Not participating,Not participating,No,Middle income,Two vehicle,Single family,Shared parking
No,Disagree,Not participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Disagree,Currently participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Disagree,Not participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Interested in participating,Interested in participating,No,Middle income,Two vehicle,Single family,Shared parking
Yes,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
Neutral,Neutral,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Not participating,Interested in participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
Neutral,Disagree,Not participating,Interested in participating,No,Middle income,Two vehicle,Single family,Personal parking
Neutral,Neutral,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
Neutral,Disagree,Not participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Disagree,Currently participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
Neutral,Disagree,Not participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
Neutral,Disagree,Not participating,Interested in participating,No,Middle income,Two vehicle,Single family,Personal parking
Neutral,Disagree,Currently participating,Not participating,No,Middle income,Two vehicle,Single family,Shared parking
Neutral,Neutral,Currently participating,Not participating,No,Middle income,Two vehicle,Single family,Shared parking
Neutral,Neutral,Currently participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
Neutral,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Not participating,Interested in participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Agree,Not participating,Interested in participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Disagree,Not participating,Currently participating,No,Middle income,Two vehicle,Apartment,Shared parking
Yes,Disagree,Currently participating,Interested in participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Disagree,Not participating,Not participating,No,Middle income,Two vehicle,Single family,Shared parking
Yes,Disagree,Currently participating,Interested in participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Shared parking
Yes,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
Neutral,Disagree,Currently participating,Interested in participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Agree,Currently participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Not participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
Neutral,Neutral,Not participating,Interested in participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Neutral,Currently participating,Interested in participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Apartment,Shared parking
Yes,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
Neutral,Neutral,Currently participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Agree,Interested in participating,Not participating,No,Middle income,Two vehicle,Apartment,Personal parking
No,Disagree,Not participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Agree,Not participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
Neutral,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Neutral,Interested in participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Interested in participating,Interested in participating,No,Middle income,Two vehicle,Single family,Personal parking
Neutral,Agree,Currently participating,Currently participating,Yes,Middle income,Two vehicle,Single family,Personal parking
No,Disagree,Not participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
Neutral,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Not participating,Not participating,No,Middle income,Two vehicle,Single family,Shared parking
No,Neutral,Interested in participating,Interested in participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Agree,Interested in participating,Not participating,No,Middle income,Two vehicle,Apartment,Shared parking
Neutral,Disagree,Not participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Interested in participating,Interested in participating,No,Middle income,Two vehicle,Single family,Personal parking
Neutral,Disagree,Not participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
Neutral,Neutral,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Neutral,Not participating,Interested in participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
Neutral,Neutral,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Apartment,Shared parking
No,Disagree,Interested in participating,Interested in participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Agree,Not participating,Not participating,No,Middle income,Two vehicle,Apartment,Shared parking
No,Agree,Currently participating,Currently participating,Yes,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Agree,Interested in participating,Interested in participating,No,Middle income,Two vehicle,Single family,Personal parking
Neutral,Disagree,Not participating,Interested in participating,No,Middle income,Two vehicle,Single family,Personal parking
Neutral,Disagree,Not participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Agree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
Neutral,Neutral,Not participating,Interested in participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Agree,Not participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Currently participating,Yes,Middle income,Two vehicle,Apartment,Shared parking
Neutral,Disagree,Not participating,Interested in participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
Neutral,Neutral,Not participating,Not participating,No,Middle income,Two vehicle,Apartment,Shared parking
No,Neutral,Not participating,Interested in participating,No,Middle income,Two vehicle,Single family,Shared parking
Yes,Disagree,Currently participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
Neutral,Agree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Disagree,Interested in participating,Interested in participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Neutral,Not participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Not participating,Currently participating,No,Middle income,Two vehicle,Single family,Shared parking
Yes,Disagree,Currently participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
Neutral,Disagree,Not participating,Not participating,No,Middle income,Two vehicle,Apartment,Shared parking
No,Disagree,Currently participating,Interested in participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Not participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Apartment,Shared parking
Yes,Disagree,Currently participating,Interested in participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Neutral,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Disagree,Not participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Neutral,Not participating,Not participating,No,Middle income,Two vehicle,Apartment,Shared parking
Yes,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
Neutral,Disagree,Interested in participating,Interested in participating,No,Middle income,Two vehicle,Apartment,Shared parking
Yes,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Agree,Not participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Not participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Apartment,Shared parking
No,Agree,Not participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Disagree,Not participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Disagree,Not participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Not participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
Neutral,Disagree,Currently participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Not participating,No,Middle income,Two vehicle,Apartment,Shared parking
Neutral,Neutral,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Neutral,Currently participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Not participating,Currently participating,No,Middle income,Two vehicle,Apartment,Personal parking
Yes,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Shared parking
Neutral,Disagree,Not participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Not participating,Interested in participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Disagree,Not participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
Neutral,Disagree,Not participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
Neutral,Disagree,Not participating,Interested in participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Disagree,Currently participating,Not participating,No,Middle income,Two vehicle,Apartment,Personal parking
No,Disagree,Currently participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
Neutral,Disagree,Not participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
Neutral,Disagree,Currently participating,Not participating,No,Middle income,Two vehicle,Single family,Shared parking
Yes,Disagree,Not participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Disagree,Not participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
Neutral,Disagree,Not participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Apartment,Shared parking
Neutral,Disagree,Currently participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Shared parking
No,Disagree,Currently participating,Not participating,No,Middle income,Two vehicle,Apartment,Shared parking
Yes,Disagree,Currently participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Not participating,No,Middle income,Two vehicle,Single family,Shared parking
No,Neutral,Not participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Disagree,Currently participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Neutral,Interested in participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Disagree,Not participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Disagree,Interested in participating,Interested in participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Disagree,Currently participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Disagree,Interested in participating,Not participating,No,Middle income,Two vehicle,Single family,Shared parking
Yes,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Disagree,Not participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
No,Neutral,Not participating,Not participating,No,Middle income,Two vehicle,Apartment,Personal parking
Neutral,Disagree,Currently participating,Currently participating,No,Middle income,Two vehicle,Single family,Personal parking
Neutral,Neutral,Not participating,Not participating,No,Middle income,Two vehicle,Apartment,Personal parking
No,Agree,Currently participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Currently participating,Interested in participating,No,Middle income,Two vehicle,Single family,Personal parking
Yes,Disagree,Not participating,Interested in participating,No,Middle income,Two vehicle,Single family,Personal parking
Neutral,Disagree,Not participating,Not participating,No,Middle income,Two vehicle,Single family,Personal parking
